CID,Gender,Limit,AverageTransactionValue,MDP,Unpaid Daily Principle ,Unpaid Interest ,TotalDuetoReset,DayDelay,Card Status
14002592,Woman,300,84.88,45,290.52,21.42,489.45,118,Blocked by The company
14003493,Woman,300,273.75,45,292.5,23.12,486.72,118,Blocked by The company
14004370,Man,300,23.3641176470588,0,0,0,0,0,Active
14004494,Man,300,10.7806451612903,45,257.42,15.06,433.21,118,Blocked by The company
14007143,Woman,300,31.8321428571429,45,298.85,19.59,402.33,28,Blocked by The company
14008012,Man,300,76.7305882352941,45,299.9,10.29,335.2,0,Active
14010629,Woman,300,29.955,45,299.55,17.62,486.79,146,Blocked by The company
14011039,Man,300,113.286,45,225.72,4.95,230.67,0,Active
14011071,Man,300,86.8883333333333,45,283.9,9.34,293.24,0,Active
14011335,Man,300,41.35,45,298.23,28.83,522.12,118,Blocked by The company
14011356,Man,400,39.96,0,0,0,0,0,Blocked by The company
14011582,Woman,300,38.5863636363636,45,143.31,3.3,146.61,0,Active
14011636,Woman,300,87.015,45,297.35,23.47,432.34,87,Blocked by The company
14011703,Man,300,22.773125,45,293.65,10.84,333.26,0,Active
14011712,Man,400,79.606,60,398.03,27.13,617.97,146,Blocked by The company
14011714,Woman,300,56.4042857142857,0,0,0,0,0,Active
14011718,Man,500,43.2505555555556,75,442.93,0,448.93,87,Blocked by The company
14011766,Man,300,37.258125,8.13,7.99,0.14,8.13,0,Active
14011777,Man,400,148.727777777778,60,292.97,4.62,297.59,0,Active
14011805,Man,300,95.9083333333333,45,300,21.06,490.76,146,Blocked by The company
14011816,Man,300,99.1666666666667,45,297.5,14.87,481.57,146,Blocked by The company
14011932,Man,300,73.3711111111111,45,291.47,21.82,453.44,56,Blocked by The company
14011940,Man,300,0,0,0,0,0,0,Active
14011948,Man,300,127.542857142857,45,299.45,23.75,492.6,87,Blocked by The company
14011949,Man,300,60.577,0,0,0,0,0,Active
14011952,Man,300,19.06,45,299.3,19.98,488.84,146,Blocked by The company
14011954,Woman,600,44.3508333333334,90,0,0,0,0,Active
14011955,Man,400,99.9925,60,399.97,27,620.18,146,Blocked by The company
14011964,Man,300,36.3529787234043,45,291.06,3.67,294.73,0,Active
14011971,Man,300,39.5079166666667,45,299.02,11.07,338.92,0,Active
14011977,Man,300,61.8625,45,58.7,1.47,60.17,0,Active
14011989,Woman,300,33.4366666666667,45,297.77,19.36,486.39,146,Blocked by The company
14011990,Man,300,32.81,45,282.66,8.43,313.07,0,Active
14011992,Man,300,96.39,0,0,0,0,0,Active
14012007,Man,300,75,45,300,19.37,489.07,146,Blocked by The company
14012021,Man,300,78.02,45,293.04,31.52,476.46,28,Blocked by The company
14012029,Man,300,40.2336585365854,45,248.59,4.15,252.82,0,Active
14012031,Man,300,13.51,0.58,0.58,0,0.58,0,Active
14012040,Woman,300,38.3527272727273,45,290.9,20.25,478.83,87,Blocked by The company
14012041,Man,300,70.675,45,219.43,15.38,235.69,0,Active
14012043,Man,300,22.5,0,0,0,0,0,Active
14012044,Man,300,11.62975,0,0,0,0,0,Active
14012050,Woman,300,74.935,45,298.84,9.36,308.2,0,Active
14012051,Woman,300,39.57,45,310.78,19.11,481.54,118,Blocked by The company
14012055,Man,300,29.904,0,0,0,0,0,Active
14012058,Man,300,183.84,0,0,0,0,0,Active
14012064,Woman,300,244.241666666667,45,292.7,19.06,311.76,0,Active
14012066,Man,300,70.6214285714286,45,300,32.21,468.62,28,Blocked by The company
14012076,Man,300,17.6376470588235,45,219.44,6.5,225.94,0,Active
14012077,Woman,300,32.2690909090909,45,292.32,33.24,503.58,56,Blocked by The company
14012081,Man,300,295.4,45,295.4,20,484.18,146,Blocked by The company
14012085,Man,400,32.4105263157895,60,398.42,14.46,449.96,0,Active
14012089,Man,400,33.4315384615385,60,398.56,27.66,616.85,146,Blocked by The company
14012090,Man,300,60,0,0,0,0,0,Active
14012094,Man,300,18.4918987341772,0,0,0,-0.89,0,Blocked by Customer
14012099,Woman,300,33.704,45,295.9,34.52,506.1,87,Blocked by The company
14012102,Woman,300,34.1260714285714,45,299.04,22.52,442.06,56,Blocked by The company
14012103,Man,300,31.4724390243902,45,297.72,15.21,481.97,87,Blocked by The company
14012111,Man,300,22.6088505747126,45,299.09,8.6,307.69,0,Active
14012116,Man,300,40.745,45,288.16,8.75,296.91,0,Active
14012117,Man,300,80.3184210526316,45,298.8,10.7,309.5,0,Active
14012118,Woman,500,49.3643333333333,75,478.53,0.57,479.1,0,Active
14012129,Woman,500,99.186,75,429.36,34.25,708.47,118,Blocked by The company
14012156,Woman,300,16.9933333333333,45,299.07,10.01,324.82,0,Active
14012165,Man,300,47.313,45,270,9.77,303.77,0,Active
14012167,Man,300,92.8446153846154,45,299.22,9.27,308.49,0,Active
14012169,Man,300,116.218333333333,0,0,0,0,0,Active
14012172,Woman,300,52.28625,45,294.94,41.75,511.84,28,Blocked by The company
14012179,Man,300,25.4819117647059,45,299.42,9.65,309.07,0,Active
14012183,Man,300,150,45,300,18,487.7,146,Blocked by The company
14012185,Man,300,75.4073333333334,45,279.68,8.36,288.04,0,Active
14012187,Woman,300,97.4166666666667,45,286.71,19.08,424.87,118,Blocked by The company
14012188,Man,400,233.85,0,0,0,-3.08,0,Active
14012191,Man,300,358.375,0,0,0,0,0,Active
14012192,Man,300,12.6237634408602,0,52.11,0.06,52.17,0,Active
14012194,Woman,300,63.4782142857143,45,297.66,9.71,307.49,0,Active
14012195,Woman,300,50.151,45,299.92,9.3,309.22,0,Active
14012197,Woman,300,85.3944444444444,45,273.06,8.65,298.82,0,Active
14012199,Man,300,61.0785714285714,45,299.91,10.75,339.33,0,Blocked by Customer
14012202,Woman,300,80.26375,45,298.91,9.83,333.5,0,Active
14012212,Woman,300,32.1614285714286,45,276.61,17.08,295.37,0,Active
14012214,Woman,300,28.0338461538462,45,294.85,15.95,478.01,146,Blocked by The company
14012217,Man,300,241.8,45,0,0,-0.05,0,Active
14004287,Man,300,138.765,45,289.25,10.29,325.07,0,Active
14005480,Man,300,46.9911764705882,45,299.95,9.34,309.29,0,Active
14006783,Man,300,12.1771428571429,45,299.01,10.95,338.48,0,Active
14007155,Man,300,0,0,0,0,0,0,Active
