CID,Limit,AverageTransactionValue,MDP,Unpaid Daily Principle ,Unpaid Interest ,TotalDuetoReset,DayDelay,Gender_Man,Gender_Woman,Card Status_Active,Card Status_Blocked by Customer,Card Status_Blocked by Easy Credit,Card Status_Lost,Card Status_Stolen,PREDICTED_CLASS
14002592,300,84.88,45.0,290.52,21.42,489.45,118,0,1,0,0,1,0,0,HighRisk
14003493,300,273.75,45.0,292.5,23.12,486.72,118,0,1,0,0,1,0,0,HighRisk
14004370,300,23.3641176470588,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,MiddleRisk
14004494,300,10.7806451612903,45.0,257.42,15.06,433.21,118,1,0,0,0,1,0,0,HighRisk
14007143,300,31.8321428571429,45.0,298.85,19.59,402.33,28,0,1,0,0,1,0,0,MiddleRisk
14008012,300,76.7305882352941,45.0,299.9,10.29,335.2,0,1,0,1,0,0,0,0,MiddleRisk
14010629,300,29.955,45.0,299.55,17.62,486.79,146,0,1,0,0,1,0,0,HighRisk
14011039,300,113.286,45.0,225.72,4.95,230.67,0,1,0,1,0,0,0,0,MiddleRisk
14011071,300,86.8883333333333,45.0,283.9,9.34,293.24,0,1,0,1,0,0,0,0,MiddleRisk
14011335,300,41.35,45.0,298.23,28.83,522.12,118,1,0,0,0,1,0,0,HighRisk
14011356,400,39.96,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,MiddleRisk
14011582,300,38.5863636363636,45.0,143.31,3.3,146.61,0,0,1,1,0,0,0,0,MiddleRisk
14011636,300,87.015,45.0,297.35,23.47,432.34,87,0,1,0,0,1,0,0,MiddleRisk
14011703,300,22.773125,45.0,293.65,10.84,333.26,0,1,0,1,0,0,0,0,MiddleRisk
14011712,400,79.606,60.0,398.03,27.13,617.97,146,1,0,0,0,1,0,0,HighRisk
14011714,300,56.4042857142857,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,MiddleRisk
14011718,500,43.2505555555556,75.0,442.93,0.0,448.93,87,1,0,0,0,1,0,0,MiddleRisk
14011766,300,37.258125,8.13,7.99,0.14,8.13,0,1,0,1,0,0,0,0,MiddleRisk
14011777,400,148.727777777778,60.0,292.97,4.62,297.59,0,1,0,1,0,0,0,0,MiddleRisk
14011805,300,95.9083333333333,45.0,300.0,21.06,490.76,146,1,0,0,0,1,0,0,HighRisk
14011816,300,99.1666666666667,45.0,297.5,14.87,481.57,146,1,0,0,0,1,0,0,HighRisk
14011932,300,73.3711111111111,45.0,291.47,21.82,453.44,56,1,0,0,0,1,0,0,MiddleRisk
14011940,300,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,MiddleRisk
14011948,300,127.542857142857,45.0,299.45,23.75,492.6,87,1,0,0,0,1,0,0,MiddleRisk
14011949,300,60.577,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,MiddleRisk
14011952,300,19.06,45.0,299.3,19.98,488.84,146,1,0,0,0,1,0,0,HighRisk
14011954,600,44.3508333333334,90.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,MiddleRisk
14011955,400,99.9925,60.0,399.97,27.0,620.18,146,1,0,0,0,1,0,0,HighRisk
14011964,300,36.3529787234043,45.0,291.06,3.67,294.73,0,1,0,1,0,0,0,0,MiddleRisk
14011971,300,39.5079166666667,45.0,299.02,11.07,338.92,0,1,0,1,0,0,0,0,MiddleRisk
14011977,300,61.8625,45.0,58.7,1.47,60.17,0,1,0,1,0,0,0,0,MiddleRisk
14011989,300,33.4366666666667,45.0,297.77,19.36,486.39,146,0,1,0,0,1,0,0,HighRisk
14011990,300,32.81,45.0,282.66,8.43,313.07,0,1,0,1,0,0,0,0,MiddleRisk
14011992,300,96.39,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,MiddleRisk
14012007,300,75.0,45.0,300.0,19.37,489.07,146,1,0,0,0,1,0,0,HighRisk
14012021,300,78.02,45.0,293.04,31.52,476.46,28,1,0,0,0,1,0,0,MiddleRisk
14012029,300,40.2336585365854,45.0,248.59,4.15,252.82,0,1,0,1,0,0,0,0,MiddleRisk
14012031,300,13.51,0.58,0.58,0.0,0.58,0,1,0,1,0,0,0,0,MiddleRisk
14012040,300,38.3527272727273,45.0,290.9,20.25,478.83,87,0,1,0,0,1,0,0,MiddleRisk
14012041,300,70.675,45.0,219.43,15.38,235.69,0,1,0,1,0,0,0,0,MiddleRisk
14012043,300,22.5,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,MiddleRisk
14012044,300,11.62975,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,MiddleRisk
14012050,300,74.935,45.0,298.84,9.36,308.2,0,0,1,1,0,0,0,0,MiddleRisk
14012051,300,39.57,45.0,310.78,19.11,481.54,118,0,1,0,0,1,0,0,HighRisk
14012055,300,29.904,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,MiddleRisk
14012058,300,183.84,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,MiddleRisk
14012064,300,244.241666666667,45.0,292.7,19.06,311.76,0,0,1,1,0,0,0,0,MiddleRisk
14012066,300,70.6214285714286,45.0,300.0,32.21,468.62,28,1,0,0,0,1,0,0,MiddleRisk
14012076,300,17.6376470588235,45.0,219.44,6.5,225.94,0,1,0,1,0,0,0,0,MiddleRisk
14012077,300,32.2690909090909,45.0,292.32,33.24,503.58,56,0,1,0,0,1,0,0,MiddleRisk
14012081,300,295.4,45.0,295.4,20.0,484.18,146,1,0,0,0,1,0,0,HighRisk
14012085,400,32.4105263157895,60.0,398.42,14.46,449.96,0,1,0,1,0,0,0,0,MiddleRisk
14012089,400,33.4315384615385,60.0,398.56,27.66,616.85,146,1,0,0,0,1,0,0,HighRisk
14012090,300,60.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,MiddleRisk
14012094,300,18.4918987341772,0.0,0.0,0.0,-0.89,0,1,0,0,1,0,0,0,MiddleRisk
14012099,300,33.704,45.0,295.9,34.52,506.1,87,0,1,0,0,1,0,0,MiddleRisk
14012102,300,34.1260714285714,45.0,299.04,22.52,442.06,56,0,1,0,0,1,0,0,MiddleRisk
14012103,300,31.4724390243902,45.0,297.72,15.21,481.97,87,1,0,0,0,1,0,0,MiddleRisk
14012111,300,22.6088505747126,45.0,299.09,8.6,307.69,0,1,0,1,0,0,0,0,MiddleRisk
14012116,300,40.745,45.0,288.16,8.75,296.91,0,1,0,1,0,0,0,0,MiddleRisk
14012117,300,80.3184210526316,45.0,298.8,10.7,309.5,0,1,0,1,0,0,0,0,MiddleRisk
14012118,500,49.3643333333333,75.0,478.53,0.57,479.1,0,0,1,1,0,0,0,0,MiddleRisk
14012129,500,99.186,75.0,429.36,34.25,708.47,118,0,1,0,0,1,0,0,HighRisk
14012156,300,16.9933333333333,45.0,299.07,10.01,324.82,0,0,1,1,0,0,0,0,MiddleRisk
14012165,300,47.313,45.0,270.0,9.77,303.77,0,1,0,1,0,0,0,0,MiddleRisk
14012167,300,92.8446153846154,45.0,299.22,9.27,308.49,0,1,0,1,0,0,0,0,MiddleRisk
14012169,300,116.218333333333,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,MiddleRisk
14012172,300,52.28625,45.0,294.94,41.75,511.84,28,0,1,0,0,1,0,0,MiddleRisk
14012179,300,25.4819117647059,45.0,299.42,9.65,309.07,0,1,0,1,0,0,0,0,MiddleRisk
14012183,300,150.0,45.0,300.0,18.0,487.7,146,1,0,0,0,1,0,0,HighRisk
14012185,300,75.4073333333334,45.0,279.68,8.36,288.04,0,1,0,1,0,0,0,0,MiddleRisk
14012187,300,97.4166666666667,45.0,286.71,19.08,424.87,118,0,1,0,0,1,0,0,HighRisk
14012188,400,233.85,0.0,0.0,0.0,-3.08,0,1,0,1,0,0,0,0,MiddleRisk
14012191,300,358.375,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,MiddleRisk
14012192,300,12.6237634408602,0.0,52.11,0.06,52.17,0,1,0,1,0,0,0,0,MiddleRisk
14012194,300,63.4782142857143,45.0,297.66,9.71,307.49,0,0,1,1,0,0,0,0,MiddleRisk
14012195,300,50.151,45.0,299.92,9.3,309.22,0,0,1,1,0,0,0,0,MiddleRisk
14012197,300,85.3944444444444,45.0,273.06,8.65,298.82,0,0,1,1,0,0,0,0,MiddleRisk
14012199,300,61.0785714285714,45.0,299.91,10.75,339.33,0,1,0,0,1,0,0,0,MiddleRisk
14012202,300,80.26375,45.0,298.91,9.83,333.5,0,0,1,1,0,0,0,0,MiddleRisk
